CA73   16 34 179
CA90   08 26 093
CA92   17 35 181
CAA8   15 33 170
CAD4   16 34 179
CAD5   03 21 057
CAH4   14 32 161
CAJ3   15 33 168
CAJ4   13 31 147
CAJ7   07 25 087
CAL3   08 26 100
CAM4   09 27 109
CAM5   13 31 150
CAN5   08 26 090
CAQ5   12 30 141
CAR5   05 23 043
CAT4   11 29 127
CAU3   18 36 200
CAU4   07 25 084
CAU4   03 21 055
CAU4   16 34 180
CAZ5   15 33 171
CBBC   13 31 151
CBJ4   07 25 090
CBQ8   02 20 044
CBR2   07 25 089
CBR3   17 35 180
CBS8   12 30 135
CBX7   01 19 033
CBZ9   08 26 104
CCC2   15 33 128
CCE3   02 20 357
CCE6   06 24 047
CCE6   18 36 164
CCG4   08 26 058
CCL9   08 26 090
CCN2   06 24 042
CCN4   09 27 086
CCP2   07 25 041
CCQ3   09 27 076
CCQ3   16 34 139
CCQ3   05 23 027
CCR3   18 36 159
CCS3   14 32 120
CCS4   09 27 072
CCW3   10 28 077
CCW4   02 20 020
CCW4   09 27 070
CCW4   15 33 130
CCZ3   08 26 054
CD-003910 28 100
CD-004205 23 045
CDA4   12 30 105
CDA5   18 36 160
CDJ4   14 32 116
CDT5   09 27 073
CDU6   11 29 095
CDV2   05 23 032
CDY3   10 28 081
CEA3   10 28 116
CEA3   04 22 059
CEA5   07 25 090
CEA6   05 23 063
CEB5   04 22 059
CEB8   10 28 092
CEC4   02 20 039
CED3   14 32 161
CED3   04 22 061
CED5   05 23 064
CED5   13 31 149
CED8   04 22 042
CEE5   07 25 088
CEF3   05 23 066
CEF4   12 30 138
CEG3   17 35 180
CEG4   17 35 180
CEH3   16 34 179
CEH4   10 28 120
CEH4   16 34 179
CEH5   13 31 143
CEH6   12 30 134
CEJ3   07 25 088
CEJ4   03 21 048
CEJ6   08 26 090
CEK6   12 30 132
CEL4   12 30 134
CEL4   02 20 039
CEL4   15 33 169
CEL5   07 25 088
CEL8   09 27 090
CEM4   04 22 062
CEM4   10 28 118
CEM4   16 34 180
CEM5   10 28 124
CEN3   12 30 132
CEN4   07 25 080
CEN4   15 33 159
CEN5   08 26 090
CEP3   07 25 090
CEQ3   14 32 154
CER2   13 31 148
CER3   14 32 161
CES4   10 28 118
CET2   09 27 115
CET4   13 31 153
CET9   11 29 129
CEU2   07 25 090
CEV3   13 31 148
CEV7   10 28 117
CEW3   08 26 095
CEX3   12 30 134
CEY3   06 24 074
CEZ4   08 26 096
CFB6   08 26 102
CFD4   05 23 066
CFF7   11 29 128
CFG3   13 31 150
CFH4   15 33 126
CFL2   02 20 036
CFN7   15 33 157
CFN7   06 24 072
CFP7   12 30 128
CFS5   06 24 088
CFS6   13 31 153
CFT8   07 25 091
CFW2   15 33 139
CFX2   16 34 178
CFX4   07 25 090
CFX5   06 24 058
CGV2   18 36 168
CGV2   08 26 074
CGV6   05 23 039
CGV6   13 31 120
CHD4   08 26 077
CHF2   07 25 058
CJA3   10 28 106
CJA3   17 35 178
CJB3   14 32 150
CJB8   08 26 091
CJC5   02 20 030
CJC5   12 30 134
CJD5   09 27 108
CJE3   12 30 132
CJE3   06 24 072
CJF3   15 33 158
CJJ    15 33 154
CJJ4   08 26 090
CJJ4   17 35 178
CJJ8   11 29 123
CJK4   08 26 088
CJL6   17 35 180
CJL6   08 26 090
CJM5   07 25 089
CJQ3   10 28 112
CJQ4   06 24 073
CJQ4   17 35 185
CJQ6   03 21 025
CJR2   11 29 122
CJR4   11 29 122
CJR4   16 34 180
CJS4   13 31 135
CJV5   04 22 051
CJW5   17 35 174
CJW5   14 32 148
CJX    13 31 148
CJX4   08 26 090
CJX5   14 32 149
CJX5   08 26 088
CJY3   14 32 143
CJY3   08 26 090
CJY3   17 35 180
CJZ3   08 26 090
CKB7   13 31 140
CKD5   10 28 104
CKE8   11 29 126
CKE8   02 20 037
CKH2   12 30 139
CKK7   18 36 179
CKK7   07 25 075
CKL5   10 28 108
CKQ5   08 26 090
CKQ6   09 27 096
CL-001903 21 030
CL-SC4909 27 087
CL35   08 26 094
CL46   08 26 092
CLA6   07 25 055
CLB2   07 25 056
CLM2   01 19 003
CLW3   09 27 080
CMA2   06 24 053
CMB2   12 30 121
CMF2   07 25 092
CML8   13 31 113
CMN4   17 35 169
CMN6   16 34 160
CMT    10 28 086
CMW3   06 24 047
CMZ2   14 32 151
CMZ2   05 23 061
CN-002313 31 123
CN-003604 22 039
CN-008011 29 105
CN-014908 26 080
CN-015718 36 171
CN-016417 35 166
CN-021801 19 000
CN-028420 02 024
CN-031710H28H098
CN-032108 26 079
CN-035701H19H008
CN-044304 22 038
CNA3   07 25 058
CNA9   05 23 047
CNC3   15 33 141
CNC3   08 26 071
CNE4   14 32 129
CNE4   18 36 168
CNE4   07 25 059
CNF4   13 31 119
CNF4   03 21 009
CNK4   17 35 158
CNK9   16H34H151
CNL3   04 22 030
CNL3   16 34 146
CNP3   10 28 086
CNP3   16 34 146
CNQ3   05 23 040
CNQ3   16 34 140
CNQ4   08 26 066
CNQ4   02 20 005
CNQ4   14 32 131
CNR4   12 30 107
CNS3   18H27H168
CNV3   28H28H268
CNV8   13 31 118
CNV8   08 26 070
CNY3   13 31 120
CNY3   01 19 008
CNZ8   04 22 046
CO-005407 25 061
CO00   14 32 155
CO00   17 35 180
CO00   08 26 090
CO12   12 30 132
CO15   17 35 180
CO15   09 27 100
CO55   16 34 170
CO80   04 22 047
CO80   12 30 129
CO90   17 35 180
COB4   14 32 134
COL2   09 27 076
CPC7   09 27 076
CPC7   01 19 356
CPE4   17 35 160
CPF2   18 36 173
CPF2   11 29 102
CPF6   02 20 027
CPK9   05 23 044
CPN8   17 35 166
CPN8   08 26 078
CPR7   13 31 121
CPR9   04 22 030
CPR9   14 32 134
CPT2   06 24 050
CPU6   09 27 078
CPU6   15 33 137
CPY9   14 32 126
CPZ3   06R24L048
CPZ3   16 34 143
CRJ2   10 28 096
CSB2   11 29 088
CSC3   06 24 044
CSD4   08 26 065
CSE4   10 28 099
CSE5   08 26 062
CSG3   15 33 134
CSG5   02 20 002
CSG5   06 24 042
CSH4   15 33 136
CSJ4   09 27 072
CSL3   03 21 014
CSL3   16 34 144
CSL8   17H24H161
CSL8   36H05H350
CSM3   06 24 044
CSP3   06 24 081
CSQ3   05 23 033
CSR3   06 24 045
CSR8   18 36 163
CSU3   02 20 004
CSY3   03 21 013
CTA4   10 28 090
CTF4   05 23 040
CTG3   08 26 065
CTK7   18 36 168
CTT5   11 29 093
CU-010205 23 047
CU-010307 25 065
CU-010408 26 077
CU-010508 26 074
CVF2   14 32 133
CYAB   13 31 128
CYAG   12 30 126
CYAG   03 21 035
CYAM   04 22 034
CYAM   12 30 108
CYAU   07 25 054
CYAV   13 31 132
CYAV   18 36 190
CYAV   04 22 046
CYAX   18 36 185
CYAY   10 28 080
CYAZ   16 34 175
CYAZ   07 25 090
CYAZ   11 29 126
CYBB   05 23 049
CYBC   10 28 080
CYBD   05 23 072
CYBE   06 24 075
CYBF   08 26 090
CYBG   11 29 091
CYBG   18 36 163
CYBK   16T34T162
CYBL   12 30 137
CYBQ   07 25 072
CYBR   08 26 090
CYBR   14 32 150
CYBW   17 35 181
CYBW   08 26 090
CYBX   05 23 028
CYCB   13T31T127
CYCC   10 28 083
CYCD   16 34 181
CYCE   10 28 091
CYCE   16 34 151
CYCG   15 33 169
CYCH   09 27 072
